Winery Name,Winery Description,Website,Winery Location,Phone #,Trade Show Location,Product 1 Name,Product 1 Description,Product 2 Name,Product 2 Description,Product 3 Name,Product 3 Description,Product 4 Name,Product 4 Description,Product 5 Name,Product 5 Description,Product 6 Name,Product 6 Description,Product 7 Name,Product 7 Description,Product 8 Name,Product 8 Description,Product 9 Name,Product 9 Description,Product 10 Name,Product 10 Description
COSTERS DEL SIÓ,"Costers del Sió winery is a family business, founded in 1992 by Juan Porcioles Sangenis. Since 2006,when our wines first became available on the market, they have gained various awards and have received international recognition. Our appellation is Costers de Segre, a rich and diverse area made up of 7 different subzones in the province of Lleida, Catalonia. We have 90 hectares of vineyards on our estate, and these are divided into 40 plots. The microclimates in the area make each plot very different, hence our philosophy “ vinos de finca “ (single estate wines ). The cellar is equipped with the highest technology and therefore we can work individually with each grape entry achieving the best of each wine. The cask room was built in the basement in order to respect its integration in the landscape and isolate it from the region temperatures. It contains 300 litre barrels – most of them made out of French oak – of different cooperages, origins and toasts. That allows us to choose the appropriate ageing profile for each wine.",http://www.costersio.com,"CTRA. AGRAMUNT, KM. 4'2, 25600, BALAGUER , Spain",,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 340",CELISTIA,"“CELISTIA” is the extract of the purity of light in the night sky. CELISTIA WHITE WINE (Viognier, Macabeo) Organic young white wine, fresh and fruity. CELISTIA RED WIINE (Tempranillo, Syrah) A pleasant, fine, oaky organic red wine. Ageing: 5 months in second use French and American oak barrels. CELISTIA SELECCIÓ (Garnacha tinta, Syrah) Organic crianza wine. Ageing 9 months in French and American oak barrels.",LA BOSCANA,"LA BOSCANA, LIVELY WINES. LA BOSCANA BLANCO (Chardonnay, Viognier) Young white wine. Fresh and fruity. LA BOSCANA RED (Tempranillo, Garnacha tinta, Syrah) Young wine with barrel, pleasant and fresh. Aged for 4 months in second-use American and French oak barrels. THE WILD BOSCANA (Garnacha tinta, Tempranillo) Crianza wine: Freshness and balance. Aged for 9 months in American and French oak.",LAS CUADRAS,"LAS CUADRAS, WINES WITH HISTORY. Las Cuadras wines are intended to be a tribute to our history, when in the past the stables and food warehouses of the Counts of Urgell (798–1413) were located on our estate. LAS CUADRAS BLANCO (Viognier, Macabeo) Young, fruity and fresh white wine. LAS CUADRAS RED (Tempranillo, Garnacha) Red oak wine with 4 months in French barrel of 300 liters. LAS CUADRAS SELECTION (Grenache, Syrah) Modern style crianza wine, looking for a more fruity character and fresh. Aged for 9 months in 300-litre American oak barrels and French.",PETIT COMITÉ,"PETIT COMITÉ BLANCO (White Grenache, Chardonnay) Barrel fermented white wine. Ecological. PETIT COMITÉ TINTO (Garnacha tinta, Tempranillo) Crianza red wine: Structure, fruit and freshness. Ecological.",SIOS,"WINES WITH IDENTITY. - PETIT SIOS WHITE (Viognier, Chardonnay, Muscat Petit Grain) Young organic, fresh and aromatic white wine. - PETIT SIOS RED (Tempranillo, Cabernet Sauvignon, Red Grenache) Organic oak red wine, tasty and persistent. - SIOS NATURE (Syrah) Young organic wine with no added sulphites made with a selection of our best Syrah grape variety, - SIOS PLA DEL LLADONER (White Grenache, Chardonnay) Organic white wine fermented in barrels. - SIOS CAU DEL GAT (Garnacha tinta, Tempranillo, Syrah) Organic Crianza Wine: Structure, fruit and freshness. Aged for 9 months in French oak barrels. - ALTO SIOS (Syrah) Red wine aged for 12 months. Expression of our best terroirs. - SIOS ESTATE Wine from the press, a tribute to our ancestors. Aged for 12 months in 500-litre French oak barrels. - SIOS BRUT ROSÉ and SIOS BRUT BLANC DE NOIRS (Pinot Noir) Aged for a minimum of 15 months in the bottle before disgorgement.",,,,,,,,,,
COTO DE GOMARIZ,"Coto de Gomariz receives its name from the village where it’s located: “gomariz” that comes from the word “gomariza” which translates to branches of the vines. It is the oldest wine producing area on the Iberian Peninsula; since the 10th Century(*) its been known as “Golden Mile of the Ribeiro” for the exceptional quality of the vineyards. The Carreiro family, from Barro de Gomariz since generations ago and always dedicated to the vineyards, is the owner of these lands. In the 80’s the grape growing project was converted into winemaking, cultivating 32Ha of vines scattered around different parishes in the valley of the river Avia in the Ourense province (Galicia). PANORAMA-2 Coto de Gomariz has led the way by proving that there is much more to Ribeiro than just the white wines, in fact there are very attractive and characterful reds too. The winery also has a distillery where they carry out investigations into liquors and distilled drinks, such as their Coffee Liqueur. The wines seduce the best experts and new wine drinkers. Made with only Galician autochthonous varieties of grapes and following the concept of “terroir”; making the wines according to the microplots of vineyard t",https://www.cotodegomariz.com/,695220256,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 339",Abadia de Gomariz,"Grape Origin Just from the vineyards owned placed in Gomariz, Leiro Council. 5000-6250 vines/Ha. No Synthesis or Insecticide products used.. Soils Granitic origin, schist and clay. Orography Terraces (Socalcos) and smooth slopes Location Gomariz, Leiro – D.O. Ribeiro – Ourense, Galicia, España. Varietal breakdown Sousón (50%), Brancellao, Ferrol and Mencía. Tasting notes (Josh Raynolds) Bright violet color. Spicy dark berries and cherry pit on the pungent nose, with a peppery nuance adding spicy lift. Minerally and focused on the palate, offering bitter cherry and cassis flavors and a hint of medicinal herbs. Gains sweetness with air and finishes precise and long, with sneaky tannins adding grip.",Coto de Gomariz,"Tasting notes (Josh Raynolds) Bright, green-tinged yellow. Lively, mineral-accented citrus and orchard fruit scents are complemented by suave floral and gingery spice qualities. Silky and focused on the palate, offering zesty orange and lemon pith flavors and a touch of bitter quince. Finishes dry and focused, with strong lift and stony persistence",The Flower and The Bee Treixadura,"Grape Origin Selection from young vineyards in Gomariz owned. 5000-7200 vines/Ha. Totally free of Toxic products. Fukuoka and R. Steinner Theories applied on viticulture works. Soils Granitic Sands mainly. Orography Terraces (Socalcos) and smooth slopes. Location Gomariz, Leiro – D.O. Ribeiro – Ourense, Galicia, España. Varietal breakdown Treixadura (100%) Tasting notes (Josh Raynolds) Bright yellow. Powerful scents of mineral-tinged orchard and pit fruits, with a lemony nuance adding lift. Sappy and penetrating on the palate, offering juicy nectarine, pear, orange and honeysuckle flavors underscored by chalky minerality. Shows very good clarity and lift on the finish, with the pear and citrus fruit notes echoing. One doesn’t encounter much treixadura as a varietal bottling.",,,,,,,,,,,,,,
COVIDES VINYES-CELLERS,,https://www.covides.com,678436020,,"Montjuïc, Pavilion 8, Level 0, Street E, Stand 215",Duc de Foix Brut Nature Reserva,"TASTING NOTES: Pale yellow reserve cava with green reflections has a splendid effervescence with rosaries of very fine bubbles. On the nose, floral notes and Mediterranean herbs stand out. On the palate it is round, dry and complex, with notes of citrus and fruits. The aftertaste is harmonious, dry and round, with a long persistence. PREPARATION: We select our best grapes from Xarel·lo, Parellada, and Chardonnay. And, after the cold skin maceration of the Chardonay, the fermentation of the 3 varieties is carried out separately at 15ºC. Subsequently, this special blend begins its second fermentation in the bottle and ageing in our cellars in Sant Sadurní D'Anoia.",Ferriol Red Organic Wine,"DESIGNATION OF ORIGIN: D.O. Penedès ORGANICALLY GROWN GRAPES: Cabernet Sauvignon, Merlot, Syrah PREPARATION: Once the best grapes of each variety have been selected on our estates, we let them ripen to their optimum point of quality. Once in the winery, the grapes are threshed and vatted, leaving each variety to ferment separately in small tanks, with a slight pumping over to extract the colour and organoleptic characteristics of the varieties. After fermentation, each tank is bled, followed by assembly and traditional cold stabilization. TASTING NOTES: Intense garnet color with violet reflections. Very intense aromas reminiscent of cocoa with hints of prune and blueberry jam. On the palate it is intense and warm, with good structure and a round finish with a mineral and long touch, reminiscent of cocoa and liquorice. Round, elegant, wide and with a very persistent finish. PAIRING: His great personality makes him the accom",Mas llinda Xarel.lo Wine,"TASTING NOTES 100% organic Xarel·lo. De-stemming of all the grapes, light maceration with the skins at a very low temperature, Bleeding of the free-run must, fermentation and ageing on lees for a short time. This Xarel·lo Mas Llinda expresses the terroir from which it comes, pale yellow in colour With golden hues, it has aromas of aniseed and tropical fruit, the palate is warm, with fruit and a slight mineral nuance.",Terra Terrae Brut,"WINEMAKING Terra Terrae is the exponent of our commitment to respect for nature and the environment. We have selected our best plots of grapes from organic farming of the Xarel·lo varieties, Macabeo and Parellada. Its elaboration, second fermentation in the bottle and long aging has been as careful and natural as possible to enjoy This organic brut cava. TASTING Pale yellow in color with green reflections it has a splendid effervescence with rosaries of very fine bubbles that form a crown. On the nose it is fresh, with notes of peach and apricot. On the palate it is round, very pleasant with a finish reminiscent of fruit mature and pastry. PAIRING The great personality of this cava makes it ideal to drink as much as as well as accompanying exotic dishes, such as Asian, and more traditional, such as the Mediterranean. Perfect for accompany fish, soft cheeses, seafood, smoked foods, salads processed and white meats.",Xenius Brut,"TASTING NOTES: Pale-yellow colour with golden hues cava. With a good release of small bubbles that end up forming a cheerful crown of mousse. Very elegant and nice first impression, with fruity notes, and typical nuances of aging in bottle. In the mouth it is very nice, fresh, and with fruity and complex reminiscences, due to the aging in bottle. It has good acidity and persistence. This is a balanced and harmonious cava. FOOD PARING: Ideal as an aperitif and to accompany rice, fish, seafood and braised White and red meat.",,,,,,,,,,
CRDO PENEDÈS,,http://www.dopenedes.cat/,"PLAÇA AGORA 1, 08720, VILAFRANCA DEL PENEDES",,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 358",,,,,,,,,,,,,,,,,,,,
CRISTINA CALVACHE,,http://www.vinoscristinacalvache.es,661689389,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 633",Bodegas Viñas Altas,"Our red wine is crafted from grapes grown in the highest vineyards of Continental Europe, located 1,450 metres above sea level. Due to the limited availability of raw materials, only 7,500 bottles are produced per vintage. This exclusive, limited-edition wine is of exceptional quality.",Cristina Calvache Cabernet,"Single-varietal red wine. 100% Cabernet Sauvignon. Vineyards located in the Sierra de Gádor mountains, at an altitude of over 1,300 meters, cultivated on trellises in limestone soil. Intense, dark cherry-red color, aromas of red fruit, leather, toast, and pronounced balsamic notes. On the palate, it is powerful and full-bodied, with a long and persistent finish.",Cristina Calvache Jaén Blanca,"Variety: Jaén Blanca. Vineyards cultivated in goblet and dry farming, at an altitude between 1000 and 1300 meters, and more than 80 years old. The vineyards are located in two different areas: Sierra Nevada, with slate soil, and Sierra de Gádor, with clay soil. We vinify the different plots separately. De-stemming, crushing and pressing of the grapes. Alcoholic fermentation at a controlled temperature of 15ºC. Aging on fine lees, in tank, between 2-4 months. It is an aromatic wine, with balsamic notes, balanced, expressive and mineral. Among the awards received are: AWC Vienna 2024 Seal of Approval (bronze medal), Gold medal at CINVE 2022, Gold medal at Berliner Wein Trophy 2009, Bronze medal at International Wine Challenge 2009,",Cristina Calvache Syrah,"Single-varietal red wine, 100% Syrah. Aged for 12 months in medium-toast French oak barrels and then rested for 12 months in the bottle at a constant temperature of 16°C. Intense cherry-red color, with aromas of ripe black fruit, violets, cocoa, and spices. On the palate, it is smooth and flavorful. The grapes used to make the wines in the Cristina Calvache line come from vineyards located in the Sierra Nevada mountains. Our oldest vineyards, planted with the Jaén Blanca variety, are located in the Montenegro area of ​​the Sierra Nevada Natural Park. These vineyards are cultivated using the traditional bush vine system and are dry-farmed on hillsides between 1,000 and 1,200 meters above sea level, with soils composed of slate, black schist, and red schist. On the other side of Sierra Nevada we have vineyards of our red varieties: Tempranillo, Syrah, Cabernet Sauvignon and Merlot, at an altitude of about 1,000 m, with a soil composed mainly of red schist and quartzite.",,,,,,,,,,,,
CUARTO LAGAR,,https://www.cuartolagar.com,636728883,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 260",,,,,,,,,,,,,,,,,,,,
CUENTAVIÑAS,,https://www.cuentavinas.com/,"Calle Las Cañas 77 Bajo 3 P.I.Cantabria II, 26009, LOGROÑO",,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 108",,,,,,,,,,,,,,,,,,,,
CUPANI,,https://cupani.es/,687829731,,"Montjuïc, Pavilion 1, Level 0, Street D, Stand 355",,,,,,,,,,,,,,,,,,,,
CUVÉE GROUP,"For our company, the potential of a vineyard sets the journey in motion. These wines are the result of a visionary planning combining technological innovations and craftsmanship elaborations. Committed in supporting local communities, particularly the small villages where the vineyards are located. Internationally recognized by the most prestigious wine-critics. From the Atlantic to the Mediterranean, our wines stem from cutting-edge research at the avant-garde of the winegrowing industry. The fuel of this company are the wines unique in terms of their quality, respect for purity and pleasure. Today, our ambassadors reflect our mindset, our taste for quality, and the ability to transcend oneself.",https://cuveegroup.com/cuvee-group/,722 858 015,,"Montjuïc, Pavilion 8, Level 0, Street B, Stand 102",,,,,,,,,,,,,,,,,,,,
D.O. 5 HISPANOBODEGAS,"D.O.5 Hispanobodegas is a leading Spanish wine group producing high-quality wines from Rioja, Ribera del Duero, and Rueda. Its wines have received high scores from Parker, Wine Spectator, Vinous, Wine Enthusiast, and James Suckling, reflecting a strong commitment to terroir, excellence, and consistency. With a clear export-driven strategy, the group enjoys a strong international presence, making it a reliable partner for importers and distributors worldwide.",http://www.hispanobodegas.com,975350404,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 258",,,,,,,,,,,,,,,,,,,,
D.O. BIERZO,"A unique land, with its own climate and two principal varieties -Mencía and Godello-both increasingly more valued in the markets. An ancestral know-how that is more than 2,000 years old and one which has evolved in recent times to make Bierzo one of the most treasured designations of origin for experts and consumers. The region with the greatest density of old vineyards in the world today produces reds, whites and claretes of utmost quality.",http://www.crdobierzo.es,987549408,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 428",,,,,,,,,,,,,,,,,,,,
D.O. NAVARRA - NAVARRA WINE,"There are places that do not impose themselves: they reveal themselves. Navarra is one of them. In northern Spain, this historic region unfolds an exceptional mosaic of landscapes, climates and vineyards within just 100 kilometres. Famous for its rosés and Garnachas, the Navarra Designation of Origin was born from the encounter between the Atlantic influence of the Cantabrian Sea, the strength of the Pyrenees and the Mediterranean mildness of the Ebro Valley. At this crossroads of climates, Grenache acts as the common thread of the territory, bringing character and authenticity to a land that has been a hidden gem for years. Today, Navarra is emerging with strength, passion and authenticity, in the spotlight of critics and sommeliers from around the world, establishing itself as an essential reference and a great cradle of rosé.",http://www.navarrawine.com/,"RUA ROMANA S/N, 31390, OLITE , Spain",,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 243",,,,,,,,,,,,,,,,,,,,
D.O.P. BULLAS,,http://www.vinosdebullas.es,"Calle LA BALSA 26, 30180, BULLAS , Spain",,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 555",,,,,,,,,,,,,,,,,,,,
D.O.P. Sierra de Salamanca,"At Sierra de Salamanca the vineyard and wine have always been related to nature and the human being. The vineyard has been cultivated on terraces for centuries while seeking to integrate with the landscape and selecting the best grounds and orientations to make different wines that are tied to the land. Since 2010, the PDO protects the typicality of the wines produced by five wineries that are convinced of the potential of Rufete and the complexity of the soil of our region.",http://www.dosierradesalamanca.es,"C/ del Pozo Barrero 7, 37610, Mogarraz , Spain",+34626656351,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 524",,,,,,,,,,,,,,,,,,,,
D.O. RIBEIRO,,https://www.treixaduraribeiro.wine,988477200,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 351",,,,,,,,,,,,,,,,,,,,
D.O. TIERRA DEL VINO DE ZAMORA,,https://www.tierradelvino.net,"PLAZA MAYOR 1, 49708, VILLANUEVA DE CAMPEAN , Spain",,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 481",,,,,,,,,,,,,,,,,,,,
D.O ARLANZA,"The Arlanza Designation of Origin is a discreet and captivating territory between Burgos and Palencia, where vineyards, many at over 900 meters, give life to wines of great freshness and depth. The altitude, with its cool nights and bright days, allows for slow ripening, which imparts elegance and unique nuances. In these lands, very old vines and traditional vineyards coexist, preserving an almost unique varietal richness, the origin of sincere and authentic wines. The exclusivity of Arlanza stems from its limited production and the close union between landscape, history, and winemakers. Each bottle is an honest expression of this place, inviting you to explore its vineyards, its diversity, and its legacy: Arlanza, a territory where wine is not only made, it is lived.",http://www.arlanza.org,650556253,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 512",,,,,,,,,,,,,,,,,,,,
DALT TURÓ,,https://www.daltturo.com,"CAMI ES FIGUERAL ., 07630, CAMPOS , Spain",,"Montjuïc, Pavilion 8, Level 0, Street E, Stand 688",Acopinyat,"Straw colored, it offers a light marine aroma, essence of white fruits with a touch of vegetal fragrance. Dry, structured and with good acidity on the palate, it gives way to a long and refreshing finish.",Brascat,"Ruby red color with a medium-low layer. Medium intensity nose with spices, tobacco, aromatic herbs and liquorice. Balanced mouth structure medium and velvety touch.",Granat,"Cherry red with garnet tones. Fresh and complex. Aromas of good intensity and frankness, red fruit, aromatic herbs and a mineral touch. Balanced, tasty, with fresh tannins, medium structure, fresh mid palate and balsamic finish.",Pedrenc,"Deep ruby-red win with intense color, featuring aromas of dark fruits and hints of licorice. On the palate, its silky and persisent power is enhanced by ripe tannins.",Roget,"Pale pink, fresh, fruity and unctuous. With aromas of flowers, red and ripe fruit. Friendly, tasty and persistent on the palate. Singular.",,,,,,,,,,
Dani MABE. Bodega,"Dani MABE Wines is a small winery in Ribera del Duero that produces signature wines using organic methods, grown on its own vineyards. Winemaker and Winemaker: Daniel Martínez Wines: W1 - 100% Albillo Mayor - White W2 - Orange Blend - 100% Albillo Mayor - White R1 - Rosé - 55% Tempranillo + 30% Merlot + 15% Albillo M1 - 84% Tempranillo + 16% Merlot - Red D1 - 100% Tempranillo from old vines - Red",https://www.danimabewines.com,618998186,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 164",D1 - Dani MABE - OLD VINEYARDS - TEMPRANILLO 100%,"D1 - Dani MABE - 100% TEMPRANILLO - RIBERA DEL DUERO. 100% TEMPRANILLO RED WINE, AGED IN BARRELS WITH RESPECT FOR THE VARIETY. ORGANIC VITICULTURE. 60-70 YEAR OLD VINEYARDS.",M1 - Tempranillo 84% + Merlot 16%,"M1 - Dani MABE - TEMPRANILLO 84% + MERLOT 16% - RIBERA DEL DUERO VINO TINTO CON LAS VARIEDADES TEMPRANILLO Y MERLOT, CRIANZA EN BARRICA CON RESPETO DE LAS VARIEDADES. RIBERA DEL DUERO. VITICULTURA ECOLOGICA. VIÑEDOS DE 12-30 AÑOS.",R1 By Dani MABE - ROSÉ - TEMPRANILLO 55% + MERLOT 30% + ALBILLO 15% - RIBERA DEL DUERO,"R1 By Dani MABE - ROSÉ - TEMPRANILLO 55% + MERLOT 30% + ALBILLO 15% - RIBERA DEL DUERO ROSÉ WINE WITH 3 VARIETIES, PRODUCED IN OUR OWN VINEYARDS. ORGANIC VITICULTURE. OLD VINEYARDS 30-50 YEARS OLD. MODERN WINEMAKING, RESPECTFUL OF THE VARIETIES, WITH A TOUCH OF BARREL AGING TO ADD COMPLEXITY AND PRESERVE THE COMPLEXITY OF THE VARIETAL AROMAS.",W1 By Dani MABE - BLANCO - ALBILLO MAYOR - RIBERA DEL DUERO,"W1 By Dani MABE - BLANCO - ALBILLO MAYOR - RIBERA DEL DUERO White wine made from the Albillo Mayor grape variety in Ribera del Duero. Organic viticulture. Old vines, 60-80 years old. Modern winemaking techniques that respect the variety, with just the right amount of barrel aging to preserve the varietal aromas.",W2 By Dani MABE - ALBILLO MAYOR / ORANGE - RIBERA DEL DUERO,"W2 - Dani MABE - ALBILLO MAYOR ORANGE - RIBERA DEL DUERO WHITE WINE MADE FROM THE ALBILLO MAYOR VARIETY OF RIBERA DEL DUERO. ORGANIC VITICULTURE. OLD VINEYARDS 60-80 YEARS OLD. WINEMAKING - ORANGE STYLE - MODERN, RESPECTFUL OF THE VARIETY AND THE WINEMAKING METHOD, WITH JUST ENOUGH BARREL AGING TO PRESERVE THE VARIETAL AND WINEMAKING AROMAS.",,,,,,,,,,
DASCA VIVES,"DASCA VIVES is a familiy farm run by Josep Dasca and Alba Vives. We maintain the tradition of farming family lands, adapting them to ECOLOGICAL AND BIODYNAMIC principles and processin the products ourselves in order to sell them direct to the consumer. We make organic and biodynamic wines from the grapes that we grow on the farm.",https://www.dascavives.com/,"GERMANS SAN GABRIEL 9, 43800, VALLS , Spain",,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 344",,,,,,,,,,,,,,,,,,,,
DECANTER,"Decanter is the world’s leading wine media brand with a total monthly organic reach in excess of 2 million via our print, digital and social channels. Engaging with wine lovers in over 100 countries around the globe, Decanter provides authoritative content, independent advice, inspirational events and the world's largest and most influential wine competition—Decanter World Wine Awards.",,00447743977459,,"Montjuïc, Pavilion 1, Level 0, Street E, Stand 405",,,,,,,,,,,,,,,,,,,,
DEHESA EL CARRASCAL,,https://www.dehesaelcarrascal.com,"PASAJE GABRIEL LODARES 3, 02001, ALBACETE , Spain",+34625722194,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 224",,,,,,,,,,,,,,,,,,,,
DELAESTRELLA GRUPO,"Founded in 1963 in Los Santos de Maimona, in the south of Extremadura, De La Estrella is one of the leading agricultural groups in the region, bringing together more than 1,200 small local farmers. Over more than six decades, it has successfully combined tradition and innovation to produce high-quality extra virgin olive oil and premium wines, with deep respect for the environment and a strong commitment to quality from field to bottle. Today, the cooperative exports to more than 15 countries and enjoys international recognition for the authenticity, traceability and excellence of its products. Its olive oils, mainly produced from the Morisca, Arbequina and Picual varieties, are renowned for their balance, flavour and health benefits, while its wines reflect the unique character of the Extremadura terroir. Beyond its production activity, the group plays a key social and economic role in the region.",https://delaestrella.es/,"MERIDA 1, 06230, LOS SANTOS DE MAIMONA , Spain",+34666244381,"Montjuïc, Pavilion 8, Level 0, Street E, Stand 732",,,,,,,,,,,,,,,,,,,,
DEL ÁLAMO FAMILY VINEYARDS | BIO & VEGAN,"The origins of this project date back to 1933, when our grandfather, José del Álamo de la Llave, a farmer at heart, planted his first vineyards in his native land, in the Mencáliz area. Today, we still have some of those original vines, a living symbol of our heritage. In 2020, we decided to build our own winery in an area close to the Montes de Toledo. Del Álamo Family Vineyards was created with the aim of producing modern, authentic wines that respect the environment and have strong family roots. We have a select portfolio of organic and vegan wines. We produce unique wines, paying special attention to customer service and offering an exceptional, personalized approach. We strive for excellence in every wine. We believe that making wine is much more than just growing and processing grapes. We are committed to environmental and social responsibility. We advocate a business model where our team is the soul and most valuable asset of the company.",http://www.delalamofamily.com,"C/ LA INDUSTRIA 14, 45710, MADRIDEJOS , Spain",+34 602 402 357,"Montjuïc, Pavilion 8, Level 0, Street A, Stand 319",BEHAPPY | 5.5 ABV | LOW ALCOHOL | BIO & VEGAN | 100% Partially Fermented Muscat Grapes | Frizzante | Small bubble | Slightly sweet | Very easy to drink | Light body | Essential Collection,"* BIOI & VEGAN * Organic Muscat grape must partially fermented in stainless steel tanks at a controlled temperature * Partially fermented grape must with NO ADDED SUGARS, NO ADDED FLAVORINGS, NO ADDED WATER. 100% from Muscat grapes * LOW ALCOHOL drink 5.5 ABV * Fruity, easy to drink, small bubbles and slightly sweet. Serve very cold * Aromas of white fruit, with hints of peach, melon and white flowers characteristic of the Muscat variety. An explosion of fruit with a lingering aftertaste of passion fruit and tropical notes, with excellent acidity that highlights its freshness * Appetizers with creamy and blue cheeses, salads, grilled vegetables, sushi, seafood, pasta, and Mediterranean-style rice dishes. For dessert, with fruit tarts, ice cream, and tropical sorbets, fresh and candied fruits * Ibiza BL bottle + Branded Tappino screw cap * Target: young people and beginners * Sales channel: Large distribution",,,,,,,,,,,,,,,,,,
DELAUVIN BODEGAS,"Bodegas Delauvín is a family business, we have our own vineyards in the region of La Serena Extremadura and we are committed to maintaining the winemaking heritage of the area. An example of this is the project to recover native varieties such as the Cigüente and Perruno varieties, this together with the sandy and not very fertile soils of our area, results in unique wines.",https://delauvin.es/,"C/LA LAGUNA 33, 06420, CASTUERA , Spain",+34 630640383,"Montjuïc, Pavilion 8, Level 0, Street E, Stand 728",Balromero,"Balromero, in honour of the family's first winegrower, grandfather Balbino Romero, is a range of wine that expresses the Romeros' passion for viticulture and wine. In whites we have unique and minority varieties such as Cigüente and Perruno and in reds Tempranillo and Garnacha Tintorera.",,,,,,,,,,,,,,,,,,
DE MOYA,"De Moya is an exciting winery founded by a Belgian family in the beautiful mountains of Valencia. What you can expect from the winery: - Native grapes (Bobal - Monastrell - Merseguera) - High altitude (850 - 1,050m) - Old vineyards (Up to 97 years) - unique history and brand (Belgian family moving to Spain making it different) - priced at ""affordable luxury"" Get in touch and we present you our fantastic wines! See you soon.",https://www.demoya.es,665330991,,"Montjuïc, Pavilion 8, Level 0, Street E, Stand 338",,,,,,,,,,,,,,,,,,,,
DE MULLER,"Family-owned winery with over 175 years of history, located in Reus, in the Tarragona region and at the heart of the DOQ Priorat. Historical official suppliers to the Vatican and artisanal producers of the renowned IRIS Vermouth. Since 1851, we have remained committed to offering authentic wines and vermouths, born from respect for the land and the dedication of generations. Each bottle tells a story of tradition, hard work, and passion for our craft, reflecting the unique character of our winery and our Mediterranean heritage.",http://www.demuller.es,"CAMI DEL MAS DE VALLS, 1, 43206, REUS , Spain",,"Montjuïc, Pavilion 8, Level 0, Street B, Stand 65",GRANÍTIC,"100% White Garnacha from Mas de Barberà Estate, unique vineyards at 450 m in the Albiol mountains (Tarragona), with slate soils and terraces that bring character and personality. A minimally intervened wine that reveals freshness, elegance, and Mediterranean authenticity. Fermented with native yeasts in stainless steel and aged for four months in granite eggs on fine lees with natural bâtonnage. Unfined and unfiltered, it expresses the pure essence of Garnacha Blanca. May contain natural tartrates.",IRIS Vermouth,"The Iris sweet vermouth collection from Reus embodies the true essence of traditional Reus vermouth, crafted with the care and expertise of a long-standing artisanal tradition. These vermouths are made from a base of high-quality wine, macerated with a selection of more than 150 aromatic herbs, plants, and natural roots. Depending on the length of maceration, each variety develops its own personality, with more or less intense herbal and spicy notes. The result is a range of sweet, balanced, and elegant vermouths, perfectly harmonizing sweetness and bitterness, with an aromatic complexity that evokes dried fruits, orange peel, rosemary, and thyme. Served well chilled over ice, the Iris vermouths are a faithful expression of Reus’ character and its centuries-old vermouth-making tradition.",Sweet Superior Altar Wine,"De Muller Sweet Superior Mass Wine is an iconic wine crafted according to the guidelines of the Holy Roman Congregation, which in 1883 awarded the winery the Ecclesiastical Certificate of Liturgical Purity. It was the official wine of the Vatican from Leo XIII to John XXIII, a true symbol of tradition and devotion. Naturally sweet, made from a late harvest in the sunniest vineyards, it stands out for its aromatic complexity. Its aging through the traditional solera system provides depth, balance, and subtle maturation notes.",,,,,,,,,,,,,,
DE NARIZ,"De Nariz was born to recover and showcase exceptional Monastrell vineyards from the Mediterranean basin. Each of our wines comes from bush vines, dry-farmed plots at high altitude, vinified with minimal intervention and maximum respect. Behind De Nariz is Pedro Martínez, one of Spain’s rising winemakers. Our Wines: * De Nariz Limited Edition -  We use different Monastrell vineyards with different orientations, altitudes, soils, balancing them each vintage according to the climatic year, in order to achieve the perfect result.  * De Nariz Pedro Martínez  - Limited Edition Magnum bottle, each year it tells a new story, with a new wine. * De Nariz Terroir Monastrell - Single-vineyard Wines, from carefully selected old Monastrell Vineyards. * De Nariz Coupage Monastrell Syrah - Where we blend the Monastrell with Syrah, creating an approachable and understandable wine. * De Nariz Organic Monastrell - An Organic-certified wine, where we apply the same winemaking techniques that we use in our top range of wines. * De Nariz Cava Monastrell Zero Dosage  - An innovative Monastrell Sparkling wine, made in the Traditional Method, with Zero added sugar.",http://www.denariz.wine,"SANTA CATALINA 1, 3E, 30004, MURCIA , Spain",+34687078045,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 549",,,,,,,,,,,,,,,,,,,,
